entity1,entity2,sentence,label,segment,pseudo_label
elendil,royaumes,"Elendil est désigné Haut-roi des deux Royaumes en Exil, mais il règne principalement sur l'Arnor et laisse ses fils régner sur le Gondor[5]. En débarquant, Isildur se rend dans la Vallée du Morthond au sud des Montagnes Blanches.",est_enfant_de,Elendil est désigné Haut-roi des deux Royaumes,est_enfant_de
balin,nains,"Parmi les Nains de la Compagnie, Balin est le deuxième Nain le plus âgé et occupe le rôle de second de Thorin.",appartient_a_race,"Nains de la Compagnie, Balin",appartient_a_race
gollum,destin,"Grâce à son aide, Frodon et Sam parviennent jusqu'à la Montagne du Destin, où Gollum tente alors d'arracher l'anneau des mains de Frodon mais chute dans le cœur du volcan, permettant la destruction de l'anneau.",fait_partie_de,"Destin, où Gollum",regne_sur
donation,cirion,Cette donation est scellée par le Serment d'Eorl et Cirion.,fait_partie_de,donation est scellée par le Serment d'Eorl et Cirion,est_enfant_de
alliance,fondcombe,"L'Alliance comprend des Elfes du Lindon, de Fondcombe, de la Forêt Noire et de Lothlórien, des Hommes d'Arnor et du Gondor.",est_allie_de,"Alliance comprend des Elfes du Lindon, de Fondcombe",fait_partie_de
mouvements,soupçons,"Ces mouvements, en plus de l'action d'espions orques envoyés par Azog, éveillent les soupçons de Gandalf, soupçons confirmés par le témoignage de Radagast et la présence de la Lame de Morgul.",fait_partie_de,"mouvements, en plus de l'action d'espions orques envoyés par Azog, éveillent les soupçons",se_marie_avec
adar,fuite,"Bien que les Númenóréens prennent rapidement le dessus sur les Orques, Adar prend la fuite à cheval avec ce qui semble être la poignée d'une épée forgée par Morgoth.",fait_partie_de,Adar prend la fuite,regne_sur
forteresse,dommages,"Cette nouvelle forteresse sera érigée au sein des Montagnes de Fer et sera placée sous le commandement de son fidèle lieutenant : Sauron.[3] Comme les Valar ne savaient pas où les enfants d'Ilúvatar se réveilleraient, ils hésitèrent à faire la guerre contre Melkor, craignant que le choc de leurs pouvoirs n'entraîne des dommages collatéraux massifs comme ils n'en avaient pas vus depuis la destruction des lampes.",fait_partie_de,"forteresse sera érigée au sein des Montagnes de Fer et sera placée sous le commandement de son fidèle lieutenant : Sauron.[3] Comme les Valar ne savaient pas où les enfants d'Ilúvatar se réveilleraient, ils hésitèrent à faire la guerre contre Melkor, craignant que le choc de leurs pouvoirs n'entraîne des dommages",est_ennemi_de
bateau,promis,"Parmi eux, Hagen se révèle être le promis d'Estrid, ce qui trouble Isildur qui tombait amoureux d'elle.[18] Un bateau de Númenor arrive à Pelargir et il va pouvoir rentrer chez lui.",fait_partie_de,"promis d'Estrid, ce qui trouble Isildur qui tombait amoureux d'elle.[18] Un bateau",se_marie_avec
enveloppe,table,"De plus, on sait que son enveloppe dégage une quantité de chaleur telle que Gil-galad est brûlé vif à son toucher et qu'Isildur décrit sa main comme à la fois noire et brûlante comme le feu.[16][17] Gollum, qui est l'un des seuls personnages à voir l'apparence du Seigneur des Ténèbres durant le Troisième Âge, le décrit comme ne possédant que quatre doigts à l'une de ses mains, preuve incontestable que Sauron a été incapable de régénérer le doigt que lui a ôté Isildur tout comme Morgoth a été incapable de guérir les blessures infligées par Fingolfin.",regne_sur,"enveloppe dégage une quantité de chaleur telle que Gil-galad est brûlé vif à son toucher et qu'Isildur décrit sa main comme à la fois noire et brûlante comme le feu.[16][17] Gollum, qui est l'un des seuls personnages à voir l'apparence du Seigneur des Ténèbres durant le Troisième Âge, le décrit comme ne possédant que quatre doigts à l'une de ses mains, preuve incontestable",est_mentor_de
