entity1,entity2,sentence
maia,service,Il est un Maia c'est-à-dire une divinité mineure au service des Valar.
maia,est-à-dire,Il est un Maia c'est-à-dire une divinité mineure au service des Valar.
maia,mineure,Il est un Maia c'est-à-dire une divinité mineure au service des Valar.
maia,divinité,Il est un Maia c'est-à-dire une divinité mineure au service des Valar.
vêtements,mousse,"Ses vêtements sont usés, couverts de taches de boue et de mousse, rappelant son attachement à la terre et à la vie sauvage."
vêtements,taches,"Ses vêtements sont usés, couverts de taches de boue et de mousse, rappelant son attachement à la terre et à la vie sauvage."
vêtements,attachement,"Ses vêtements sont usés, couverts de taches de boue et de mousse, rappelant son attachement à la terre et à la vie sauvage."
bâton,chapeau,"Il porte un chapeau âbimé, assorti d’un bâton recouvert de lianes et de champignons."
bâton,lianes,"Il porte un chapeau âbimé, assorti d’un bâton recouvert de lianes et de champignons."
bâton,champignons,"Il porte un chapeau âbimé, assorti d’un bâton recouvert de lianes et de champignons."
vitesse,maniabilité,La vitesse et la maniabilité du traîneau de lapins de Radagast lui permettent d'échapper aux Wargs avant qu'ils ne soient chassés par des cavaliers elfes menés par Elrond.
vitesse,cavaliers,La vitesse et la maniabilité du traîneau de lapins de Radagast lui permettent d'échapper aux Wargs avant qu'ils ne soient chassés par des cavaliers elfes menés par Elrond.
vitesse,échappe,La vitesse et la maniabilité du traîneau de lapins de Radagast lui permettent d'échapper aux Wargs avant qu'ils ne soient chassés par des cavaliers elfes menés par Elrond.
vitesse,lapins,La vitesse et la maniabilité du traîneau de lapins de Radagast lui permettent d'échapper aux Wargs avant qu'ils ne soient chassés par des cavaliers elfes menés par Elrond.
vitesse,traîneau,La vitesse et la maniabilité du traîneau de lapins de Radagast lui permettent d'échapper aux Wargs avant qu'ils ne soient chassés par des cavaliers elfes menés par Elrond.
preuve,morgul,"Mais le chef du Conseil Blanc, le mage blanc Saroumane, reste sceptique et affirme qu'aucune preuve n'étaye une telle théorie malgré la découverte de la lame de Morgul par Radagast."
consommation,ricane,Saroumane ricane et suggère que la consommation excessive de champignons altère le jugement de Radagast et réduit sa fiabilité.
consommation,fiabilité,Saroumane ricane et suggère que la consommation excessive de champignons altère le jugement de Radagast et réduit sa fiabilité.
consommation,réduit,Saroumane ricane et suggère que la consommation excessive de champignons altère le jugement de Radagast et réduit sa fiabilité.
consommation,juge,Saroumane ricane et suggère que la consommation excessive de champignons altère le jugement de Radagast et réduit sa fiabilité.
consommation,champignons,Saroumane ricane et suggère que la consommation excessive de champignons altère le jugement de Radagast et réduit sa fiabilité.
tombeaux,sortilège,"Ils découvrent que ceux-ci ce sont échappés, et que leurs tombeaux sont profanés et violés par de ""noirs"" et ""anciens sortilèges""."
tombeaux,échappés,"Ils découvrent que ceux-ci ce sont échappés, et que leurs tombeaux sont profanés et violés par de ""noirs"" et ""anciens sortilèges""."
tombeaux,profanés,"Ils découvrent que ceux-ci ce sont échappés, et que leurs tombeaux sont profanés et violés par de ""noirs"" et ""anciens sortilèges""."
tombeaux,couvre,"Ils découvrent que ceux-ci ce sont échappés, et que leurs tombeaux sont profanés et violés par de ""noirs"" et ""anciens sortilèges""."
faramir,rapproche,"Faramir déçoit son père quand il se rapproche de Gandalf, au côté de qui il apprend beaucoup sur l'histoire du Gondor et la chute d'Isildur."
faramir,chute,"Faramir déçoit son père quand il se rapproche de Gandalf, au côté de qui il apprend beaucoup sur l'histoire du Gondor et la chute d'Isildur."
faramir,rêve,"Faramir fait plusieurs fois le même rêve sur la tenue d'un conseil à Fondcombe à propos du ""Fléau d'Isildur"" (l'Anneau Unique)."
faramir,fondcombe,"Faramir fait plusieurs fois le même rêve sur la tenue d'un conseil à Fondcombe à propos du ""Fléau d'Isildur"" (l'Anneau Unique)."
faramir,fléau,"Faramir fait plusieurs fois le même rêve sur la tenue d'un conseil à Fondcombe à propos du ""Fléau d'Isildur"" (l'Anneau Unique)."
faramir,dangereux,Faramir comprend que l'objet est dangereux et qu'il a conduit Boromir à la folie.
faramir,m.,Faramir met tout de même en garde Frodon contre Gollum.[1][2]
faramir,garde,Faramir met tout de même en garde Frodon contre Gollum.[1][2]
faramir,gollum,Faramir met tout de même en garde Frodon contre Gollum.[1][2]
faramir,garnison,"Le lendemain, Faramir envoie ses hommes de Cair Andros au sud pour renforcer la garnison d'Osgiliath."
faramir,andros,"Le lendemain, Faramir envoie ses hommes de Cair Andros au sud pour renforcer la garnison d'Osgiliath."
croit,conscient,"À son arrivée devant son père, Faramir est inconscient et Denethor le croit mort."
croit,arrivée,"À son arrivée devant son père, Faramir est inconscient et Denethor le croit mort."
croit,faramir,"À son arrivée devant son père, Faramir est inconscient et Denethor le croit mort."
bataille,faramir,"Une fois la bataille de Minas Tirith terminée, Aragorn soigne Faramir avec de l'athelas (la feuille de roi)."
bataille,tirith,"Une fois la bataille de Minas Tirith terminée, Aragorn soigne Faramir avec de l'athelas (la feuille de roi)."
faramir,eowyn,"Pendant sa convalescence, Faramir fait la connaissance d'Eowyn (Dame de Rohan) et tombe amoureux d'elle."
faramir,convalescence,"Pendant sa convalescence, Faramir fait la connaissance d'Eowyn (Dame de Rohan) et tombe amoureux d'elle."
faramir,amour,"Pendant sa convalescence, Faramir fait la connaissance d'Eowyn (Dame de Rohan) et tombe amoureux d'elle."
exerce,faramir,"Après la chute de Sauron, Faramir exerce brièvement le pouvoir à Minas Tirith et prépare la cité pour le retour de l'héritier d'Elendil (Aragorn)."
exerce,chute,"Après la chute de Sauron, Faramir exerce brièvement le pouvoir à Minas Tirith et prépare la cité pour le retour de l'héritier d'Elendil (Aragorn)."
exerce,elendil,"Après la chute de Sauron, Faramir exerce brièvement le pouvoir à Minas Tirith et prépare la cité pour le retour de l'héritier d'Elendil (Aragorn)."
exerce,tirith,"Après la chute de Sauron, Faramir exerce brièvement le pouvoir à Minas Tirith et prépare la cité pour le retour de l'héritier d'Elendil (Aragorn)."
lignée,intendants,"Mais Aragorn déclare que tant que sa lignée régnera, Faramir et les siens seront les intendants du trône du Gondor."
lignée,faramir,"Mais Aragorn déclare que tant que sa lignée régnera, Faramir et les siens seront les intendants du trône du Gondor."
faramir,tardivement,Faramir apparait tardivement dans la rédaction du Seigneur des Anneaux.
faramir,rédaction,Faramir apparait tardivement dans la rédaction du Seigneur des Anneaux.
dague,brûle,SauronDenethor II (quand ce dernier veut brûler Faramir) Arme(s) Dague de l’Occidentale
dague,faramir,SauronDenethor II (quand ce dernier veut brûler Faramir) Arme(s) Dague de l’Occidentale
doubleur,communauté,"Doubleur V.F. Gilles Guillot (1978)Pierre Tessier (2001-2003) Peregrin Touque, dit Pippin ou Pip (  Angl.  Peregrin Took ) (ou Peregrin Touc dans la traduction de Daniel Lauzon), est un hobbit de la Comté, et l'un des neuf marcheurs de la Communauté de l'Anneau."
doubleur,guillot,"Doubleur V.F. Gilles Guillot (1978)Pierre Tessier (2001-2003) Peregrin Touque, dit Pippin ou Pip (  Angl.  Peregrin Took ) (ou Peregrin Touc dans la traduction de Daniel Lauzon), est un hobbit de la Comté, et l'un des neuf marcheurs de la Communauté de l'Anneau."
doubleur,v.f,"Doubleur V.F. Gilles Guillot (1978)Pierre Tessier (2001-2003) Peregrin Touque, dit Pippin ou Pip (  Angl.  Peregrin Took ) (ou Peregrin Touc dans la traduction de Daniel Lauzon), est un hobbit de la Comté, et l'un des neuf marcheurs de la Communauté de l'Anneau."
doubleur,marcheurs,"Doubleur V.F. Gilles Guillot (1978)Pierre Tessier (2001-2003) Peregrin Touque, dit Pippin ou Pip (  Angl.  Peregrin Took ) (ou Peregrin Touc dans la traduction de Daniel Lauzon), est un hobbit de la Comté, et l'un des neuf marcheurs de la Communauté de l'Anneau."
circonstances,gaffeur,"Il est d'un naturel gaffeur, mais sait se montrer étonnamment sérieux lorsque les circonstances l'exigent."
circonstances,montre,"Il est d'un naturel gaffeur, mais sait se montrer étonnamment sérieux lorsque les circonstances l'exigent."
circonstances,nature,"Il est d'un naturel gaffeur, mais sait se montrer étonnamment sérieux lorsque les circonstances l'exigent."
toursle,province,"Les Deux ToursLe Retour du Roi Le Rohan (Sindarin  Pays du Cheval) est le territoire des Rohirrim, auparavant appelé Calenardhon lorsqu'il était une province du Gondor."
toursle,sindar,"Les Deux ToursLe Retour du Roi Le Rohan (Sindarin  Pays du Cheval) est le territoire des Rohirrim, auparavant appelé Calenardhon lorsqu'il était une province du Gondor."
donation,cirion,Cette donation est scellée par le Serment d'Eorl et Cirion.
donation,eorl,Cette donation est scellée par le Serment d'Eorl et Cirion.
frontières,dirigées,"Les frontières avec les autres royaumes sont multiples : Le royaume est divisé en plusieurs régions, dirigées par des Seigneurs résidant dans leurs capitales provinciales."
frontières,provinciales,"Les frontières avec les autres royaumes sont multiples : Le royaume est divisé en plusieurs régions, dirigées par des Seigneurs résidant dans leurs capitales provinciales."
frontières,royaumes,"Les frontières avec les autres royaumes sont multiples : Le royaume est divisé en plusieurs régions, dirigées par des Seigneurs résidant dans leurs capitales provinciales."
frontières,régions,"Les frontières avec les autres royaumes sont multiples : Le royaume est divisé en plusieurs régions, dirigées par des Seigneurs résidant dans leurs capitales provinciales."
frontières,capitales,"Les frontières avec les autres royaumes sont multiples : Le royaume est divisé en plusieurs régions, dirigées par des Seigneurs résidant dans leurs capitales provinciales."
description,écrite,Une description détaillée (apocryphe) du Rohan a été écrite pour le Jeu de Rôle des Terres du Milieu d'I.C.E..
description,terres,Une description détaillée (apocryphe) du Rohan a été écrite pour le Jeu de Rôle des Terres du Milieu d'I.C.E..
forteresse,situe,La forteresse de Dol Guldur se situe au sommet de la colline d'Amon Lanc dans le sud-ouest de la Forêt Noire.
forteresse,amon,La forteresse de Dol Guldur se situe au sommet de la colline d'Amon Lanc dans le sud-ouest de la Forêt Noire.
forteresse,alentours,"La forteresse ne reste pas très longtemps sans dirigeant puisque 400 ans plus tard, Sauron revient à la tête d'une force d'action qui lui permet de mettre fin à toute paix existant aux alentours de la Forêt Noire."
forteresse,paix,"La forteresse ne reste pas très longtemps sans dirigeant puisque 400 ans plus tard, Sauron revient à la tête d'une force d'action qui lui permet de mettre fin à toute paix existant aux alentours de la Forêt Noire."
forteresse,tête,"La forteresse ne reste pas très longtemps sans dirigeant puisque 400 ans plus tard, Sauron revient à la tête d'une force d'action qui lui permet de mettre fin à toute paix existant aux alentours de la Forêt Noire."
forteresse,réfugier,"Ainsi, lors de l'intervention du Conseil Blanc, Sauron n'a pas d'autre choix que de s'enfuir et de se réfugier au Mordor.[4] La forteresse ne reste pas longtemps inoccupée,"
forteresse,enfuir,"Ainsi, lors de l'intervention du Conseil Blanc, Sauron n'a pas d'autre choix que de s'enfuir et de se réfugier au Mordor.[4] La forteresse ne reste pas longtemps inoccupée,"
forteresse,choix,"Ainsi, lors de l'intervention du Conseil Blanc, Sauron n'a pas d'autre choix que de s'enfuir et de se réfugier au Mordor.[4] La forteresse ne reste pas longtemps inoccupée,"
légions,fronts,"Durant la Guerre de l'Anneau, les légions de Dol Guldur mènent une guerre sur deux fronts, en luttant à la fois contre la Lórien à l'ouest et contre le Royaume sylvestre de Thranduil au nord."
